id,full_name,owner,repo_name,html_url,created_at,updated_at,pushed_at,size,language,forks_count,stargazers_count,watchers_count,has_issues,archived,disabled,fork,num_contributors,sbom_flag,exclusion_reason,num_commits,num_buggy_commits,lifetime_days,num_languages,num_stars,main_language,num_files,num_methods,num_buggy_files,num_buggy_methods,num_bugs
222,apache#myfaces,apache,myfaces,https://github.com/apache/myfaces,2018-05-08T11:41:08Z,2025-05-30T10:59:06Z,2025-05-30T10:59:10Z,226106,Java,71,123,123,False,False,False,False,43,True,,6395,3831,7079,3,123,Java,1994,22838,4532,20667,1683
223,apache#lucenenet,apache,lucenenet,https://github.com/apache/lucenenet,2009-03-27T15:41:57Z,2025-06-02T13:08:25Z,2025-05-29T15:05:16Z,622563,C#,647,2313,2313,True,False,False,False,68,True,,6982,991,7133,5,2313,C#,3876,51111,14393,36400,651
224,apache#skywalking-python,apache,skywalking-python,https://github.com/apache/skywalking-python,2020-05-05T12:13:49Z,2025-05-26T08:27:16Z,2025-05-28T09:45:52Z,9422,Python,104,201,201,False,False,False,False,40,True,,324,298,1881,1,201,Python,291,517,684,502,0
225,apache#fineract,apache,fineract,https://github.com/apache/fineract,2015-12-22T08:00:06Z,2025-06-02T12:57:57Z,2025-06-02T11:22:02Z,492414,Java,1887,1588,1588,False,False,False,False,219,True,,8676,4603,4795,4,1588,Java,5355,43727,12602,37382,2290
226,apache#libcloud,apache,libcloud,https://github.com/apache/libcloud,2009-12-11T09:00:14Z,2025-06-01T14:08:11Z,2025-05-19T17:47:30Z,211284,Python,928,2068,2068,True,False,False,False,323,True,,4500,720,2973,3,2068,Python,699,9299,270,3410,1045
227,apache#celeborn,apache,celeborn,https://github.com/apache/celeborn,2021-12-10T08:57:16Z,2025-06-01T15:24:15Z,2025-06-02T02:09:47Z,137735,Java,392,951,951,True,False,False,False,111,True,,2350,2335,1273,7,951,Java,1085,8165,2465,7864,2020
228,apache#grails-redis,apache,grails-redis,https://github.com/apache/grails-redis,2011-06-06T08:05:57Z,2025-04-14T15:35:53Z,2025-04-14T15:39:28Z,8685,Groovy,47,76,76,True,False,False,False,21,True,,428,109,5060,2,76,JavaScript,42,351,42,0,0
229,apache#trafficserver,apache,trafficserver,https://github.com/apache/trafficserver,2009-10-31T08:00:10Z,2025-06-02T11:53:06Z,2025-05-30T08:26:21Z,354338,C++,823,1872,1872,True,False,False,False,221,True,,16323,10245,5718,8,1872,C++,1608,39201,12001,37332,0
230,apache#jackrabbit-oak,apache,jackrabbit-oak,https://github.com/apache/jackrabbit-oak,2012-03-08T08:00:14Z,2025-06-02T09:33:20Z,2025-06-02T09:33:42Z,743205,Java,414,393,393,False,False,False,False,64,True,,20286,18066,4840,5,393,Java,6115,77127,12317,76920,0
231,apache#sis,apache,sis,https://github.com/apache/sis,2013-06-11T07:00:15Z,2025-05-21T16:17:42Z,2025-06-01T22:43:49Z,376879,Java,45,101,101,False,False,False,False,7,True,,9423,668,5540,4,101,Java,3444,48424,4760,28773,609
